Indian Rupee	1.00 INR	inv. 1.00 INR
US Dollar	0.011582	86.342963
Euro	0.009884	101.169672
British Pound	0.008580	116.545305
Australian Dollar	0.017695	56.511762
Canadian Dollar	0.015795	63.309594
Singapore Dollar	0.014817	67.488307
Swiss Franc	0.009210	108.580634
Malaysian Ringgit	0.049002	20.407515
Japanese Yen	1.696770	0.589355
Chinese Yuan Renminbi	0.083083	12.036117
Alphabetical orderJul 22, 2025 15:06 UTC
Indian Rupee▲	1.00 INR▲▼	inv. 1.00 INR▲▼
Argentine Peso	14.632700	0.068340
Australian Dollar	0.017695	56.511762
Bahraini Dinar	0.004355	229.635539
Botswana Pula	0.162904	6.138600
Brazilian Real	0.064481	15.508554
British Pound	0.008580	116.545305
Bruneian Dollar	0.014817	67.488307
Bulgarian Lev	0.019332	51.727232
Canadian Dollar	0.015795	63.309594
Chilean Peso	11.046000	0.090531
Chinese Yuan Renminbi	0.083083	12.036117
Colombian Peso	46.985675	0.021283
Czech Koruna	0.243283	4.110444
Danish Krone	0.073788	13.552407
Emirati Dirham	0.042534	23.510677
Euro	0.009884	101.169672
Hong Kong Dollar	0.090914	10.999379
Hungarian Forint	3.943640	0.253573
Icelandic Krona	1.407589	0.710435
Indonesian Rupiah	188.776887	0.005297
Iranian Rial	487.594724	0.002051
Israeli Shekel	0.038813	25.764870
Japanese Yen	1.696770	0.589355
Kazakhstani Tenge	6.194507	0.161433
Kuwaiti Dinar	0.003535	282.871763
Libyan Dinar	0.062804	15.922483
Malaysian Ringgit	0.049002	20.407515
Mauritian Rupee	0.526707	1.898588
Mexican Peso	0.215704	4.635988
Nepalese Rupee	1.600750	0.624707
New Zealand Dollar	0.019336	51.716007
Norwegian Krone	0.117104	8.539419
Omani Rial	0.004456	224.395643
Pakistani Rupee	3.300837	0.302953
Philippine Peso	0.659224	1.516936
Polish Zloty	0.042033	23.790870
Qatari Riyal	0.042157	23.720594
Romanian New Leu	0.050119	19.952596
Russian Ruble	0.908310	1.100946
Saudi Arabian Riyal	0.043431	23.024790
Singapore Dollar	0.014817	67.488307
South African Rand	0.203626	4.910962
South Korean Won	16.017389	0.062432
Sri Lankan Rupee	3.493392	0.286255
Swedish Krona	0.110537	9.046715
Swiss Franc	0.009210	108.580634
Taiwan New Dollar	0.340643	2.935626
Thai Baht	0.372857	2.681992
Trinidadian Dollar	0.078605	12.721781
Turkish Lira	0.468044	2.136551
US Dollar	0.011582	86.342963
